cond,n_scored,delta_dat,cohens_d,u_stat,p_value
identity|all|0.00,20,-1.6693989151999915,-0.2029638925961608,179.0,0.5792183523134169
no_affine|all|0.00,18,-22.096975966105383,-2.9908588617660152,5.0,3.3687561179842543e-07
no_mean|all|0.00,20,-3.0686473988351253,-0.39842373356903493,153.0,0.20845355458876536
no_mean|early|0.00,20,-1.9809987573396484,-0.2576359914058999,169.0,0.4091360434734501
no_mean|late|0.00,20,0.40468169110164354,0.05294135192763771,196.5,0.9353194228772207
no_mean|mid|0.00,20,-1.2621890788986434,-0.1576864465489636,184.5,0.6848553703192988
weakened_a|all|0.25,20,-3.0597634400640175,-0.416367819058901,143.0,0.1264128277809867
weakened_a|all|0.50,0,,,,
weakened_a|all|0.75,0,,,,
weakened_a|early|0.50,11,-1.212272662104965,-0.16653305137384294,98.0,0.6349362167418194
weakened_a|late|0.50,0,,,,
weakened_a|mid|0.50,7,12.277826358671916,1.817025275681156,136.0,2.702611398263572e-05
