cond,n_scored,delta_dat,cohens_d,u_stat,p_value
identity|all|0.00,19,12.039130277800965,1.7180449348382116,352.0,5.685538164974064e-06
no_affine|all|0.00,8,-23.003553556544453,-2.726803286712497,2.0,2.573915617393878e-06
no_mean|all|0.00,19,-0.6310627783151546,-0.06102496159395607,190.0,1.0
no_mean|early|0.00,19,-4.145574441231005,-0.396355085407226,150.0,0.2670618648911034
no_mean|late|0.00,20,-1.8402040004730225,-0.20018999323078562,175.5,0.5161880499864406
no_mean|mid|0.00,19,1.8198325759485812,0.2033607462989949,209.0,0.6031994066338354
weakened_a|all|0.25,19,12.039130277800965,1.7180449348382116,352.0,5.685538164974064e-06
weakened_a|all|0.50,19,12.039130277800965,1.7180449348382116,352.0,5.685538164974064e-06
weakened_a|all|0.75,19,12.039130277800965,1.7180449348382116,352.0,5.685538164974064e-06
weakened_a|early|0.50,0,,,,
weakened_a|late|0.50,0,,,,
weakened_a|mid|0.50,20,5.661949628875362,0.8060284855603911,267.0,0.0720454304673439
