cond,n_scored,delta_dat,cohens_d,u_stat,p_value
identity|all|0.00,0,,,,
no_affine|all|0.00,20,-11.260352824010013,-1.4008386108452204,64.0,0.008159742618791993
no_mean|all|0.00,20,0.29006469006441193,0.026670550109490994,132.0,0.7927148846426472
no_mean|early|0.00,14,-3.0121019097412614,-0.21763698952428526,88.0,0.6604610310639161
no_mean|late|0.00,16,-6.00438179815707,-0.6393872912206854,72.0,0.10001449493129189
no_mean|mid|0.00,14,0.6593942236738002,0.057073596480159534,96.0,0.9448254853969121
weakened_a|all|0.25,0,,,,
weakened_a|all|0.50,0,,,,
weakened_a|all|0.75,20,-18.15953757892661,-2.3205587425286334,12.0,7.918482209258859e-06
weakened_a|early|0.50,0,,,,
weakened_a|late|0.50,20,-18.15953757892661,-2.3205587425286334,12.0,7.918482209258859e-06
weakened_a|mid|0.50,0,,,,
