cond,n_scored,delta_dat,cohens_d,u_stat,p_value
identity|all|0.00,15,16.189494643892573,2.9886212978289843,225.0,3.3918213908250945e-06
no_affine|all|0.00,15,-13.88553169038559,-2.1983008962488535,17.0,8.13402807598356e-05
no_mean|all|0.00,15,4.308526175362715,0.49006146701731435,125.0,0.6186695570822622
no_mean|early|0.00,15,1.6839415497250059,0.22179455705848936,121.5,0.7243273897984674
no_mean|late|0.00,15,4.445498273486194,0.5921199805619867,143.0,0.21337370709311831
no_mean|mid|0.00,15,5.0713122269463895,0.6905124849834386,148.0,0.14657603430900068
weakened_a|all|0.25,15,16.189494643892573,2.9886212978289843,225.0,3.3918213908250945e-06
weakened_a|all|0.50,15,16.189494643892573,2.9886212978289843,225.0,3.3918213908250945e-06
weakened_a|all|0.75,15,-15.364710603441509,-2.3089506890735074,13.0,4.0199730927471705e-05
weakened_a|early|0.50,15,-20.69032635007585,-3.783333967937432,4.0,7.477207640048691e-06
weakened_a|late|0.50,15,-15.360578790543556,-2.3267357012572414,13.0,4.0199730927471705e-05
weakened_a|mid|0.50,2,0.27396399823446416,,,
