model,decoding,recipe,target,alpha,n_int,n_stock,stock_mean,int_mean,delta,cohens_d,u_stat,p_value
EleutherAI/pythia-410m,topp,no_mean,all,0.0,20,20,80.92794426849909,77.85929686966396,-3.0686473988351253,-0.39842373356903493,153.0,0.20845355458876536
EleutherAI/pythia-410m,topp,no_affine,all,0.0,18,20,80.92794426849909,58.83096830239371,-22.096975966105383,-2.9908588617660152,5.0,3.3687561179842543e-07
EleutherAI/pythia-410m,topp,weakened_a,all,0.25,20,20,80.92794426849909,77.86818082843507,-3.0597634400640175,-0.416367819058901,143.0,0.1264128277809867
EleutherAI/pythia-410m,topp,identity,all,0.0,20,20,80.92794426849909,79.2585453532991,-1.6693989151999915,-0.2029638925961608,179.0,0.5792183523134169
EleutherAI/pythia-410m,topp,no_mean,early,0.0,20,20,80.92794426849909,78.94694551115944,-1.9809987573396484,-0.2576359914058999,169.0,0.4091360434734501
EleutherAI/pythia-410m,topp,no_mean,mid,0.0,20,20,80.92794426849909,79.66575518960045,-1.2621890788986434,-0.1576864465489636,184.5,0.6848553703192988
EleutherAI/pythia-410m,topp,no_mean,late,0.0,20,20,80.92794426849909,81.33262595960073,0.40468169110164354,0.05294135192763771,196.5,0.9353194228772207
EleutherAI/pythia-410m,topp,weakened_a,early,0.5,11,20,80.92794426849909,79.71567160639412,-1.212272662104965,-0.16653305137384294,98.0,0.6349362167418194
EleutherAI/pythia-410m,topp,weakened_a,mid,0.5,7,20,80.92794426849909,93.205770627171,12.277826358671916,1.817025275681156,136.0,2.702611398263572e-05
gpt2-medium,topp,no_mean,all,0.0,19,20,84.69214513188318,84.06108235356803,-0.6310627783151546,-0.06102496159395607,190.0,1.0
gpt2-medium,topp,no_affine,all,0.0,8,20,84.69214513188318,61.68859157533873,-23.003553556544453,-2.726803286712497,2.0,2.573915617393878e-06
gpt2-medium,topp,weakened_a,all,0.75,19,20,84.69214513188318,96.73127540968414,12.039130277800965,1.7180449348382116,352.0,5.685538164974064e-06
gpt2-medium,topp,weakened_a,all,0.5,19,20,84.69214513188318,96.73127540968414,12.039130277800965,1.7180449348382116,352.0,5.685538164974064e-06
gpt2-medium,topp,weakened_a,all,0.25,19,20,84.69214513188318,96.73127540968414,12.039130277800965,1.7180449348382116,352.0,5.685538164974064e-06
gpt2-medium,topp,identity,all,0.0,19,20,84.69214513188318,96.73127540968414,12.039130277800965,1.7180449348382116,352.0,5.685538164974064e-06
gpt2-medium,topp,no_mean,early,0.0,19,20,84.69214513188318,80.54657069065217,-4.145574441231005,-0.396355085407226,150.0,0.2670618648911034
gpt2-medium,topp,no_mean,mid,0.0,19,20,84.69214513188318,86.51197770783176,1.8198325759485812,0.2033607462989949,209.0,0.6031994066338354
gpt2-medium,topp,no_mean,late,0.0,20,20,84.69214513188318,82.85194113141016,-1.8402040004730225,-0.20018999323078562,175.5,0.5161880499864406
gpt2-medium,topp,weakened_a,mid,0.5,20,20,84.69214513188318,90.35409476075854,5.661949628875362,0.8060284855603911,267.0,0.0720454304673439
gpt2,greedy,no_mean,all,0.0,20,14,70.48897244492356,70.77903713498797,0.29006469006441193,0.026670550109490994,132.0,0.7927148846426472
gpt2,greedy,no_affine,all,0.0,20,14,70.48897244492356,59.22861962091355,-11.260352824010013,-1.4008386108452204,64.0,0.008159742618791993
gpt2,greedy,weakened_a,all,0.75,20,14,70.48897244492356,52.32943486599695,-18.15953757892661,-2.3205587425286334,12.0,7.918482209258859e-06
gpt2,greedy,no_mean,early,0.0,14,14,70.48897244492356,67.4768705351823,-3.0121019097412614,-0.21763698952428526,88.0,0.6604610310639161
gpt2,greedy,no_mean,mid,0.0,14,14,70.48897244492356,71.14836666859736,0.6593942236738002,0.057073596480159534,96.0,0.9448254853969121
gpt2,greedy,no_mean,late,0.0,16,14,70.48897244492356,64.48459064676649,-6.00438179815707,-0.6393872912206854,72.0,0.10001449493129189
gpt2,greedy,weakened_a,late,0.5,20,14,70.48897244492356,52.32943486599695,-18.15953757892661,-2.3205587425286334,12.0,7.918482209258859e-06
gpt2,high_t,no_mean,all,0.0,15,15,79.39021313001238,83.6987393053751,4.308526175362715,0.49006146701731435,125.0,0.6186695570822622
gpt2,high_t,no_affine,all,0.0,15,15,79.39021313001238,65.5046814396268,-13.88553169038559,-2.1983008962488535,17.0,8.13402807598356e-05
gpt2,high_t,weakened_a,all,0.75,15,15,79.39021313001238,64.02550252657088,-15.364710603441509,-2.3089506890735074,13.0,4.0199730927471705e-05
gpt2,high_t,weakened_a,all,0.5,15,15,79.39021313001238,95.57970777390496,16.189494643892573,2.9886212978289843,225.0,3.3918213908250945e-06
gpt2,high_t,weakened_a,all,0.25,15,15,79.39021313001238,95.57970777390496,16.189494643892573,2.9886212978289843,225.0,3.3918213908250945e-06
gpt2,high_t,identity,all,0.0,15,15,79.39021313001238,95.57970777390496,16.189494643892573,2.9886212978289843,225.0,3.3918213908250945e-06
gpt2,high_t,no_mean,early,0.0,15,15,79.39021313001238,81.07415467973739,1.6839415497250059,0.22179455705848936,121.5,0.7243273897984674
gpt2,high_t,no_mean,mid,0.0,15,15,79.39021313001238,84.46152535695877,5.0713122269463895,0.6905124849834386,148.0,0.14657603430900068
