cond,n,n_scored,dat_mean,dat_std,dat_median,validity_mean
identity|all|0.00,20,20,79.2585453532991,8.529569947788593,82.11049153691246,0.9949999999999999
no_affine|all|0.00,20,18,58.83096830239371,6.8691968194476924,59.2646001350312,0.795
no_mean|all|0.00,20,20,77.85929686966396,7.5447193028523625,77.75460311344692,1.0
no_mean|early|0.00,20,20,78.94694551115944,7.519811648701907,79.96307199909572,1.0
no_mean|late|0.00,20,20,81.33262595960073,7.431786941367506,79.86613625571842,1.0
no_mean|mid|0.00,20,20,79.66575518960045,8.120878373488939,82.48997557730902,1.0
stock|all|0.00,20,20,80.92794426849909,7.4689920512463095,81.31214919544401,1.0
weakened_a|all|0.25,20,20,77.86818082843507,6.842564260596528,76.55986008189973,0.9949999999999999
weakened_a|all|0.50,20,0,,0.0,,0.3550000000000001
weakened_a|all|0.75,20,0,,0.0,,0.345
weakened_a|early|0.50,20,11,79.71567160639412,6.186596679533295,80.19872165861584,0.6849999999999998
weakened_a|late|0.50,20,0,,0.0,,0.13000000000000003
weakened_a|mid|0.50,20,7,93.205770627171,1.917739377328983,93.75132379077729,0.5999999999999999
