file,model,decoding,recipe,target,alpha,n,n_scored,validity,dat_mean,dat_std
dat_EleutherAI_pythia-410m_topp,EleutherAI/pythia-410m,topp,identity,all,0.0,20,20,0.9949999999999999,79.2585453532991,8.529569947788593
dat_EleutherAI_pythia-410m_topp,EleutherAI/pythia-410m,topp,no_affine,all,0.0,20,18,0.795,58.83096830239371,6.8691968194476924
dat_EleutherAI_pythia-410m_topp,EleutherAI/pythia-410m,topp,no_mean,all,0.0,20,20,1.0,77.85929686966396,7.5447193028523625
dat_EleutherAI_pythia-410m_topp,EleutherAI/pythia-410m,topp,no_mean,early,0.0,20,20,1.0,78.94694551115944,7.519811648701907
dat_EleutherAI_pythia-410m_topp,EleutherAI/pythia-410m,topp,no_mean,late,0.0,20,20,1.0,81.33262595960073,7.431786941367506
dat_EleutherAI_pythia-410m_topp,EleutherAI/pythia-410m,topp,no_mean,mid,0.0,20,20,1.0,79.66575518960045,8.120878373488939
dat_EleutherAI_pythia-410m_topp,EleutherAI/pythia-410m,topp,stock,all,0.0,20,20,1.0,80.92794426849909,7.4689920512463095
dat_EleutherAI_pythia-410m_topp,EleutherAI/pythia-410m,topp,weakened_a,all,0.25,20,20,0.9949999999999999,77.86818082843507,6.842564260596528
dat_EleutherAI_pythia-410m_topp,EleutherAI/pythia-410m,topp,weakened_a,all,0.5,20,0,0.3550000000000001,,0.0
dat_EleutherAI_pythia-410m_topp,EleutherAI/pythia-410m,topp,weakened_a,all,0.75,20,0,0.345,,0.0
dat_EleutherAI_pythia-410m_topp,EleutherAI/pythia-410m,topp,weakened_a,early,0.5,20,11,0.6849999999999998,79.71567160639412,6.186596679533295
dat_EleutherAI_pythia-410m_topp,EleutherAI/pythia-410m,topp,weakened_a,late,0.5,20,0,0.13000000000000003,,0.0
dat_EleutherAI_pythia-410m_topp,EleutherAI/pythia-410m,topp,weakened_a,mid,0.5,20,7,0.5999999999999999,93.205770627171,1.917739377328983
dat_gpt2-medium_topp,gpt2-medium,topp,identity,all,0.0,20,19,0.865,96.73127540968414,2.9732456471336466
dat_gpt2-medium_topp,gpt2-medium,topp,no_affine,all,0.0,20,8,0.65,61.68859157533873,5.018152080570116
dat_gpt2-medium_topp,gpt2-medium,topp,no_mean,all,0.0,20,19,0.9400000000000001,84.06108235356803,11.020998387492034
dat_gpt2-medium_topp,gpt2-medium,topp,no_mean,early,0.0,20,19,0.9650000000000001,80.54657069065217,11.236082308904528
dat_gpt2-medium_topp,gpt2-medium,topp,no_mean,late,0.0,20,20,1.0,82.85194113141016,8.837497691875239
dat_gpt2-medium_topp,gpt2-medium,topp,no_mean,mid,0.0,20,19,0.975,86.51197770783176,8.316402884168022
dat_gpt2-medium_topp,gpt2-medium,topp,stock,all,0.0,20,20,0.99,84.69214513188318,9.07992970575588
dat_gpt2-medium_topp,gpt2-medium,topp,weakened_a,all,0.25,20,19,0.865,96.73127540968414,2.9732456471336466
dat_gpt2-medium_topp,gpt2-medium,topp,weakened_a,all,0.5,20,19,0.865,96.73127540968414,2.9732456471336466
dat_gpt2-medium_topp,gpt2-medium,topp,weakened_a,all,0.75,20,19,0.865,96.73127540968414,2.9732456471336466
dat_gpt2-medium_topp,gpt2-medium,topp,weakened_a,early,0.5,20,0,0.10500000000000002,,0.0
dat_gpt2-medium_topp,gpt2-medium,topp,weakened_a,late,0.5,20,0,0.11500000000000002,,0.0
dat_gpt2-medium_topp,gpt2-medium,topp,weakened_a,mid,0.5,20,20,0.9549999999999998,90.35409476075854,3.3627073716286557
dat_gpt2_greedy,gpt2,greedy,identity,all,0.0,20,0,0.10000000000000002,,0.0
dat_gpt2_greedy,gpt2,greedy,no_affine,all,0.0,20,20,1.0,59.22861962091355,3.3595649893594484
dat_gpt2_greedy,gpt2,greedy,no_mean,all,0.0,20,20,0.97,70.77903713498797,9.856891203181924
dat_gpt2_greedy,gpt2,greedy,no_mean,early,0.0,20,14,0.7499999999999999,67.4768705351823,14.972082018813254
dat_gpt2_greedy,gpt2,greedy,no_mean,late,0.0,20,16,0.85,64.48459064676649,6.261683692276226
dat_gpt2_greedy,gpt2,greedy,no_mean,mid,0.0,20,14,0.7899999999999999,71.14836666859736,10.7855351369002
dat_gpt2_greedy,gpt2,greedy,stock,all,0.0,20,14,0.73,70.48897244492356,11.47020985451603
dat_gpt2_greedy,gpt2,greedy,weakened_a,all,0.25,20,0,0.10000000000000002,,0.0
dat_gpt2_greedy,gpt2,greedy,weakened_a,all,0.5,20,0,0.10000000000000002,,0.0
dat_gpt2_greedy,gpt2,greedy,weakened_a,all,0.75,20,20,1.0,52.32943486599695,2.4260206067157863
dat_gpt2_greedy,gpt2,greedy,weakened_a,early,0.5,20,0,0.48999999999999994,,0.0
dat_gpt2_greedy,gpt2,greedy,weakened_a,late,0.5,20,20,1.0,52.32943486599695,2.4260206067157863
dat_gpt2_greedy,gpt2,greedy,weakened_a,mid,0.5,20,0,0.10000000000000002,,0.0
dat_gpt2_high_t,gpt2,high_t,identity,all,0.0,15,15,0.8866666666666667,95.57970777390496,3.1362816836965894
