cond,n,n_scored,dat_mean,dat_std,dat_median,validity_mean
identity|all|0.00,20,19,96.73127540968414,2.9732456471336466,97.05341628619603,0.865
no_affine|all|0.00,20,8,61.68859157533873,5.018152080570116,61.45666255837395,0.65
no_mean|all|0.00,20,19,84.06108235356803,11.020998387492034,85.40262040637788,0.9400000000000001
no_mean|early|0.00,20,19,80.54657069065217,11.236082308904528,79.45137705121722,0.9650000000000001
no_mean|late|0.00,20,20,82.85194113141016,8.837497691875239,83.91165052141461,1.0
no_mean|mid|0.00,20,19,86.51197770783176,8.316402884168022,88.56494966007415,0.975
stock|all|0.00,20,20,84.69214513188318,9.07992970575588,87.18173816090538,0.99
weakened_a|all|0.25,20,19,96.73127540968414,2.9732456471336466,97.05341628619603,0.865
weakened_a|all|0.50,20,19,96.73127540968414,2.9732456471336466,97.05341628619603,0.865
weakened_a|all|0.75,20,19,96.73127540968414,2.9732456471336466,97.05341628619603,0.865
weakened_a|early|0.50,20,0,,0.0,,0.10500000000000002
weakened_a|late|0.50,20,0,,0.0,,0.11500000000000002
weakened_a|mid|0.50,20,20,90.35409476075854,3.3627073716286557,89.6335522333781,0.9549999999999998
