cond,n,n_scored,dat_mean,dat_std,dat_median,validity_mean
identity|all|0.00,20,0,,0.0,,0.10000000000000002
no_affine|all|0.00,20,20,59.22861962091355,3.3595649893594484,60.54020850431351,1.0
no_mean|all|0.00,20,20,70.77903713498797,9.856891203181924,71.02525816077278,0.97
no_mean|early|0.00,20,14,67.4768705351823,14.972082018813254,66.80340284392948,0.7499999999999999
no_mean|late|0.00,20,16,64.48459064676649,6.261683692276226,67.25596813928513,0.85
no_mean|mid|0.00,20,14,71.14836666859736,10.7855351369002,71.37971378508068,0.7899999999999999
stock|all|0.00,20,14,70.48897244492356,11.47020985451603,72.19825301851544,0.73
weakened_a|all|0.25,20,0,,0.0,,0.10000000000000002
weakened_a|all|0.50,20,0,,0.0,,0.10000000000000002
weakened_a|all|0.75,20,20,52.32943486599695,2.4260206067157863,51.76461197081066,1.0
weakened_a|early|0.50,20,0,,0.0,,0.48999999999999994
weakened_a|late|0.50,20,20,52.32943486599695,2.4260206067157863,51.76461197081066,1.0
weakened_a|mid|0.50,20,0,,0.0,,0.10000000000000002
