cond,n,n_scored,dat_mean,dat_std,dat_median,validity_mean
identity|all|0.00,15,15,95.57970777390496,3.1362816836965894,96.53811227707637,0.8866666666666667
no_affine|all|0.00,15,15,65.5046814396268,5.4347314299404,64.940934805643,1.0
no_mean|all|0.00,15,15,83.6987393053751,9.967233827419603,78.65346329552787,0.9866666666666667
no_mean|early|0.00,15,15,81.07415467973739,7.915919233634506,80.13333536329723,1.0
no_mean|late|0.00,15,15,83.83571140349858,7.763869148694808,83.30265510649907,1.0
no_mean|mid|0.00,15,15,84.46152535695877,7.466258519022118,82.78480030241467,1.0
stock|all|0.00,15,15,79.39021313001238,6.703722634167365,79.89154571578617,1.0
weakened_a|all|0.25,15,15,95.57970777390496,3.1362816836965894,96.53811227707637,0.8866666666666667
weakened_a|all|0.50,15,15,95.57970777390496,3.1362816836965894,96.53811227707637,0.8866666666666667
weakened_a|all|0.75,15,15,64.02550252657088,6.141527211810676,64.19842754091535,1.0
weakened_a|early|0.50,15,15,58.699886779936534,3.2997130247677675,58.317373196283974,0.9933333333333334
weakened_a|late|0.50,15,15,64.02963433946883,6.034548264940056,64.74396160670689,1.0
weakened_a|mid|0.50,15,2,79.66417712824685,0.8119241112754523,79.66417712824685,0.49999999999999994
