cond,n,n_scored,dat_mean,dat_std,dat_median,validity_mean
identity|all|0.00,20,19,96.73127540968414,2.9732456471336466,97.05341628619603,0.865
no_affine|all|0.00,20,20,63.873694170088996,6.0546773046811015,62.76046406655084,1.0
no_mean|all|0.00,20,20,83.58417868614197,9.335695150959477,85.88445087273915,1.0
no_mean|early|0.00,20,20,77.86208500464758,11.970984363245815,78.5293617418834,0.9949999999999999
no_mean|late|0.00,20,20,86.02168748776117,7.214730947284244,86.44276729651861,1.0
no_mean|mid|0.00,20,20,77.64963172730945,12.129069207052805,81.42216631344385,0.9949999999999999
stock|all|0.00,20,20,82.13068526415599,9.06434796180016,82.69480367501576,1.0
weakened_a|all|0.25,20,19,96.73127540968414,2.9732456471336466,97.05341628619603,0.865
weakened_a|all|0.50,20,19,96.73127540968414,2.9732456471336466,97.05341628619603,0.865
weakened_a|all|0.75,20,20,61.667348075480696,5.988146330016124,61.210993925730385,1.0
weakened_a|early|0.50,20,20,59.29954090288707,2.8083411587024303,59.26850892248608,0.9749999999999999
weakened_a|late|0.50,20,20,61.35414747964769,6.200367573478526,61.210993925730385,1.0
weakened_a|mid|0.50,20,0,,0.0,,0.35
