model,recipe,target,alpha,layer,mean_pair_dist,norm_mean,norm_std,norm_ratio,uniform_angle_mean
EleutherAI/pythia-410m,stock,all,0.0,24,0.37494245171546936,81.2584457397461,6.6035847663879395,0.08126644045114517,90.68174743652344
EleutherAI/pythia-410m,no_mean,all,0.0,24,0.4007125794887543,93.49687194824219,4.611976146697998,0.04932759702205658,90.3150405883789
EleutherAI/pythia-410m,no_affine,all,0.0,24,0.4110472798347473,99.39488983154297,4.902028560638428,0.049318719655275345,90.19630432128906
EleutherAI/pythia-410m,weakened_a,all,0.75,24,0.19433806836605072,105.29182434082031,1.198359727859497,0.011381317861378193,89.10482025146484
EleutherAI/pythia-410m,weakened_a,all,0.5,24,0.21084097027778625,105.4981918334961,1.3103183507919312,0.012420292012393475,89.02886199951172
EleutherAI/pythia-410m,weakened_a,all,0.25,24,0.2139291614294052,110.3797836303711,0.6540922522544861,0.005925833713263273,89.90930938720703
EleutherAI/pythia-410m,identity,all,0.0,24,0.005244752857834101,110.13079833984375,0.17281153798103333,0.0015691481530666351,89.96562194824219
EleutherAI/pythia-410m,no_mean,early,0.0,24,0.37520575523376465,81.46076965332031,6.524394512176514,0.08009247481822968,90.72584533691406
EleutherAI/pythia-410m,no_mean,mid,0.0,24,0.3750467896461487,81.66252136230469,6.429843902587891,0.07873678207397461,90.66136169433594
EleutherAI/pythia-410m,no_mean,late,0.0,24,0.4002247452735901,92.54084777832031,5.001254081726074,0.05404374748468399,90.29176330566406
