model,recipe,target,alpha,final_layer_pair_dist,final_norm_mean,final_norm_ratio
EleutherAI/pythia-410m,stock,all,0.0,0.37494245171546936,81.2584457397461,0.08126644045114517
EleutherAI/pythia-410m,no_mean,all,0.0,0.4007125794887543,93.49687194824219,0.04932759702205658
EleutherAI/pythia-410m,no_affine,all,0.0,0.4110472798347473,99.39488983154297,0.049318719655275345
EleutherAI/pythia-410m,weakened_a,all,0.75,0.19433806836605072,105.29182434082031,0.011381317861378193
EleutherAI/pythia-410m,weakened_a,all,0.5,0.21084097027778625,105.4981918334961,0.012420292012393475
EleutherAI/pythia-410m,weakened_a,all,0.25,0.2139291614294052,110.3797836303711,0.005925833713263273
EleutherAI/pythia-410m,identity,all,0.0,0.005244752857834101,110.13079833984375,0.0015691481530666351
EleutherAI/pythia-410m,no_mean,early,0.0,0.37520575523376465,81.46076965332031,0.08009247481822968
EleutherAI/pythia-410m,no_mean,mid,0.0,0.3750467896461487,81.66252136230469,0.07873678207397461
EleutherAI/pythia-410m,no_mean,late,0.0,0.4002247452735901,92.54084777832031,0.05404374748468399
gpt2-medium,stock,all,0.0,0.00562858022749424,258.4374084472656,0.05935288965702057
gpt2-medium,no_mean,all,0.0,0.005862553603947163,213.54147338867188,0.10550840198993683
gpt2-medium,no_affine,all,0.0,0.002908602822571993,217.411376953125,0.09956414997577667
gpt2-medium,weakened_a,all,0.75,,,
gpt2-medium,weakened_a,all,0.5,,,
gpt2-medium,weakened_a,all,0.25,,,
gpt2-medium,identity,all,0.0,,,
gpt2-medium,no_mean,early,0.0,0.0052982657216489315,238.203125,0.05393756181001663
gpt2-medium,no_mean,mid,0.0,0.006143615115433931,243.8090362548828,0.06126267462968826
gpt2-medium,no_mean,late,0.0,0.00538530433550477,217.9635009765625,0.14501641690731049
gpt2,stock,all,0.0,0.01468148734420538,78.80130004882812,0.4498971998691559
gpt2,no_mean,all,0.0,0.013240604661405087,97.11466217041016,0.2920091450214386
gpt2,no_affine,all,0.0,0.008087843656539917,111.04075622558594,0.15155047178268433
gpt2,weakened_a,all,0.75,1.291036642214749e-05,149.69224548339844,0.002755069173872471
gpt2,weakened_a,all,0.5,,,
gpt2,weakened_a,all,0.25,,,
gpt2,identity,all,0.0,,,
gpt2,no_mean,early,0.0,0.01492585614323616,83.88835144042969,0.3966507911682129
gpt2,no_mean,mid,0.0,0.016925139352679253,76.21879577636719,0.4732130765914917
gpt2,no_mean,late,0.0,0.011899290606379509,94.25281524658203,0.31148281693458557
