model,recipe,target,alpha,layer,mean_pair_dist,norm_mean,norm_std,norm_ratio,uniform_angle_mean
gpt2,stock,all,0.0,12,0.01468148734420538,78.80130004882812,35.452484130859375,0.4498971998691559,88.84376525878906
gpt2,no_mean,all,0.0,12,0.013240604661405087,97.11466217041016,28.358369827270508,0.2920091450214386,88.44036102294922
gpt2,no_affine,all,0.0,12,0.008087843656539917,111.04075622558594,16.828279495239258,0.15155047178268433,86.84706115722656
gpt2,weakened_a,all,0.75,12,1.291036642214749e-05,149.69224548339844,0.41241249442100525,0.002755069173872471,87.15818786621094
gpt2,weakened_a,all,0.5,12,,,,,
gpt2,weakened_a,all,0.25,12,,,,,
gpt2,identity,all,0.0,12,,,,,
gpt2,no_mean,early,0.0,12,0.01492585614323616,83.88835144042969,33.27437973022461,0.3966507911682129,88.66548919677734
gpt2,no_mean,mid,0.0,12,0.016925139352679253,76.21879577636719,36.06772994995117,0.4732130765914917,88.93400573730469
gpt2,no_mean,late,0.0,12,0.011899290606379509,94.25281524658203,29.358131408691406,0.31148281693458557,88.53929138183594
